symbols	start	end	motif	score	strand
1700025G04Rik	152091024.0	152091069.0	RREB1	13.417583333333333	-
1700025G04Rik	152091094.0	152091117.0	RREB1	16.5714	-
1700025G04Rik	152091045.0	152091058.0	RUNX3	14.3556	-
1700025G04Rik	152091098.0	152091111.0	RUNX3	12.6889	-
1700025G04Rik	152091407.0	152091417.0	SMAD2	15.1667	+
1700025G04Rik	152091243.0	152091253.0	SMAD2	15.3333	-
1700025G04Rik	152091407.0	152091416.0	SMAD3	13.5824	+
1700025G04Rik	152091244.0	152091253.0	SMAD3	12.7473	-
1700025G04Rik	152091408.0	152091416.0	SMAD4	13.0778	+
1700025G04Rik	152091244.0	152091252.0	SMAD4	12.5889	-
1700025G04Rik	152091377.0	152091395.0	SP1	17.19	+
1700025G04Rik	152091672.0	152091696.0	SP1	13.656666666666666	+
1700025G04Rik	152091759.0	152091784.0	SP1	16.965	+
1700025G04Rik	152091334.0	152091352.0	SP1	13.68	-
1700025G04Rik	152091415.0	152091433.0	SP1	14.57	-
1700025G04Rik	152090787.0	152090806.0	SP3	12.7838	+
1700025G04Rik	152091343.0	152091362.0	SP3	13.1982	+
1700025G04Rik	152091378.0	152091402.0	SP3	16.22075	+
1700025G04Rik	152091673.0	152091695.0	SP3	14.53155	+
1700025G04Rik	152091760.0	152091786.0	SP3	17.0946	+
1700025G04Rik	152091332.0	152091351.0	SP3	17.036	-
1700025G04Rik	152091413.0	152091432.0	SP3	15.4595	-
1700025G04Rik	152091358.0	152091410.0	SP4	14.298285714285713	+
1700025G04Rik	152091510.0	152091544.0	SP4	13.608066666666666	+
1700025G04Rik	152091666.0	152091689.0	SP4	12.2198	+
1700025G04Rik	152091753.0	152091788.0	SP4	16.354785714285715	+
1700025G04Rik	152091826.0	152091871.0	SP4	13.63185	+
1700025G04Rik	152091307.0	152091330.0	SP4	12.0659	-
1700025G04Rik	152091526.0	152091549.0	SP4	14.6593	-
1700025G04Rik	152091602.0	152091625.0	SP4	11.7473	-
1700025G04Rik	152091766.0	152091782.0	SP4	15.32	-
1700025G04Rik	152091793.0	152091816.0	SP4	13.1978	-
1700025G04Rik	152089772.0	152089790.0	STAT1	15.3492	-
1700025G04Rik	152091708.0	152091726.0	STAT1	12.9206	-
1700025G04Rik	152091733.0	152091751.0	STAT1	12.7222	-
1700025G04Rik	152089712.0	152089726.0	STAT2	13.632	+
1700025G04Rik	152089637.0	152089647.0	STAT4	13.1648	+
1700025G04Rik	152089634.0	152089647.0	STAT4	14.2778	-
1700025G04Rik	152089850.0	152089863.0	TCF7	16.00892	-
1700025G04Rik	152091793.0	152091807.0	ZFP281	13.32	+
1700025G04Rik	152091768.0	152091782.0	ZFP281	12.872	-
1700025G04Rik	152090570.0	152090583.0	ZFX	13.455600000000002	+
1700025G04Rik	152091326.0	152091344.0	ZFX	17.0111	+
1700025G04Rik	152090573.0	152090591.0	ZFX	15.8333	-
1700025G04Rik	152091334.0	152091347.0	ZFX	16.366700000000005	-
1700025G04Rik	152092075.0	152092093.0	ZFX	14.4569	-
1810026B05Rik	73558141.0	73558150.0	BATF	14.1429	+
1810026B05Rik	73559676.0	73559686.0	CEBPZ	14.0222	-
1810026B05Rik	73560157.0	73560166.0	E2F2	14.1889	-
1810026B05Rik	73560134.0	73560143.0	E2F3	13.7222	-
1810026B05Rik	73559607.0	73559618.0	E2F4	13.336	+
1810026B05Rik	73560167.0	73560178.0	E2F4	13.632	+
1810026B05Rik	73560319.0	73560330.0	E2F4	13.632	+
1810026B05Rik	73559608.0	73559619.0	E2F6	14.8378	+
1810026B05Rik	73560168.0	73560179.0	E2F6	14.2793	+
1810026B05Rik	73560320.0	73560331.0	E2F6	15.3964	+
1810026B05Rik	73559516.0	73559526.0	EGR1	13.5444	-
1810026B05Rik	73559329.0	73559343.0	ETS1	14.8889	+
1810026B05Rik	73559332.0	73559340.0	ETS1	12.1222	-
1810026B05Rik	73559658.0	73559672.0	ETS1	13.1333	-
1810026B05Rik	73558139.0	73558149.0	FOSL2	14.5	+
1810026B05Rik	73559330.0	73559342.0	GABPA	13.5889	-
1810026B05Rik	73559471.0	73559484.0	IRF2	12.8889	-
1810026B05Rik	73558661.0	73558676.0	IRF4	13.0222	+
1810026B05Rik	73559288.0	73559307.0	IRF5	4.56667	-
1810026B05Rik	73558996.0	73559010.0	IRF8	13.9341	+
1810026B05Rik	73558820.0	73558834.0	IRF8	14.9011	-
1810026B05Rik	73559472.0	73559483.0	IRF9	8.4	-
1810026B05Rik	73558141.0	73558149.0	JUN	13.8	+
1810026B05Rik	73558140.0	73558149.0	JUNB	14.2889	+
1810026B05Rik	73558140.0	73558150.0	JUND	15.5275	+
1810026B05Rik	73558003.0	73558017.0	KLF3	15.5778	+
1810026B05Rik	73559981.0	73559995.0	KLF3	13.5	-
1810026B05Rik	73558134.0	73558151.0	MAFK	16.8556	+
1810026B05Rik	73559292.0	73559301.0	MAFK	6.51899	+
1810026B05Rik	73558139.0	73558156.0	MAFK	13.7	-
1810026B05Rik	73559744.0	73559760.0	MAZ	12.8462	+
1810026B05Rik	73559834.0	73559867.0	MAZ	15.479866666666664	+
1810026B05Rik	73560009.0	73560025.0	MAZ	12.6484	+
1810026B05Rik	73560066.0	73560076.0	MBD2	13.2333	+
1810026B05Rik	73560353.0	73560368.0	MTF1	14.2432	-
1810026B05Rik	73558139.0	73558152.0	NFE2	18.619	-
1810026B05Rik	73558139.0	73558153.0	NFE2L2	18.4	-
1810026B05Rik	73559675.0	73559687.0	NFYB	14.3516	+
1810026B05Rik	73559675.0	73559688.0	NFYC	14.8889	+
1810026B05Rik	73560275.0	73560293.0	NR1H2	-5.5	-
1810026B05Rik	73558519.0	73558531.0	NR2C2	13.811	-
1810026B05Rik	73560278.0	73560290.0	NR2C2	13.3071	-
1810026B05Rik	73558514.0	73558532.0	NR2F6	11.95635	-
1810026B05Rik	73560273.0	73560290.0	NR2F6	18.0444	-
1810026B05Rik	73559702.0	73559716.0	NRF1	14.642	+
1810026B05Rik	73559705.0	73559719.0	NRF1	14.0715	-
1810026B05Rik	73558519.0	73558532.0	PPARD	14.4066	-
1810026B05Rik	73560278.0	73560291.0	PPARD	15.7912	-
1810026B05Rik	73558304.0	73558320.0	PRDM4	13.232	-
1810026B05Rik	73559740.0	73559757.0	PURA	14.6522	+
1810026B05Rik	73559829.0	73559845.0	PURA	13.7065	+
1810026B05Rik	73558945.0	73558957.0	RFX2	13.5556	+
1810026B05Rik	73559817.0	73559846.0	RREB1	12.1502	+
1810026B05Rik	73559219.0	73559229.0	RUNX1	13.4176	+
1810026B05Rik	73558519.0	73558532.0	RXRB	7.98889	-
1810026B05Rik	73558568.0	73558582.0	SMAD2	14.17775	-
1810026B05Rik	73558565.0	73558582.0	SMAD3	12.263766666666667	-
1810026B05Rik	73558565.0	73558581.0	SMAD4	12.722233333333334	-
1810026B05Rik	73560277.0	73560293.0	SOX4	14.81	-
1810026B05Rik	73559743.0	73559761.0	SP1	14.12	+
1810026B05Rik	73559830.0	73559861.0	SP1	14.974999999999998	+
1810026B05Rik	73560323.0	73560341.0	SP1	14.81	+
1810026B05Rik	73559604.0	73559620.0	SP2	14.7667	+
1810026B05Rik	73559832.0	73559848.0	SP2	15.2	+
1810026B05Rik	73559744.0	73559763.0	SP3	13.7748	+
1810026B05Rik	73559831.0	73559863.0	SP3	14.9392	+
1810026B05Rik	73560315.0	73560343.0	SP3	15.060066666666666	+
1810026B05Rik	73559739.0	73559762.0	SP4	14.2198	+
1810026B05Rik	73559826.0	73559860.0	SP4	12.4011	+
1810026B05Rik	73560072.0	73560098.0	SP4	14.0549	+
1810026B05Rik	73560314.0	73560346.0	SP4	15.206025	+
1810026B05Rik	73560370.0	73560393.0	SP4	13.1429	+
1810026B05Rik	73559787.0	73559810.0	SP4	14.0769	-
1810026B05Rik	73559960.0	73559983.0	SP4	11.6593	-
1810026B05Rik	73560089.0	73560112.0	SP4	11.8901	-
1810026B05Rik	73559327.0	73559345.0	STAT1	17.6508	+
1810026B05Rik	73559330.0	73559344.0	STAT2	13.16	+
1810026B05Rik	73559370.0	73559382.0	STAT2	12.6944	+
1810026B05Rik	73557956.0	73557968.0	STAT2	13.0833	-
1810026B05Rik	73558947.0	73558956.0	STAT3	13.0769	-
1810026B05Rik	73557939.0	73557954.0	TBP	12.9643	-
1810026B05Rik	73559901.0	73559912.0	YY1	13.104	+
1810026B05Rik	73559323.0	73559335.0	ZBTB6	14.5667	-
1810026B05Rik	73559744.0	73559759.0	ZFP281	14.784	-
1810026B05Rik	73559839.0	73559853.0	ZFP281	13.88	-
1810026B05Rik	73560013.0	73560031.0	ZFX	13.8222	+
1810026B05Rik	73560076.0	73560094.0	ZFX	15.0889	+
1810026B05Rik	73560167.0	73560185.0	ZFX	13.6	+
1810026B05Rik	73560021.0	73560034.0	ZFX	15.7778	-
1810026B05Rik	73560084.0	73560097.0	ZFX	14.155599999999996	-
4930417O13Rik	125264809.0	125264816.0	AHCTF1	11.9228	-
4930417O13Rik	125264145.0	125264153.0	ARID3A	8.80473	+
4930417O13Rik	125265074.0	125265082.0	ARID3A	8.89349	-
4930417O13Rik	125265050.0	125265060.0	ARID3B	14.3333	+
4930417O13Rik	125265070.0	125265080.0	ARID3B	12.9444	+
4930417O13Rik	125265053.0	125265063.0	ARID3B	12.9444	-
4930417O13Rik	125265069.0	125265083.0	ARID3B	12.788850000000002	-
4930417O13Rik	125265290.0	125265298.0	CREB3L2	13.840000000000002	+
4930417O13Rik	125265206.0	125265216.0	CREM	13.0778	-
4930417O13Rik	125264063.0	125264076.0	CUX1	13.5165	-
4930417O13Rik	125264210.0	125264220.0	DBP	13.3407	+
4930417O13Rik	125264211.0	125264220.0	DBP	9.72936	-
4930417O13Rik	125264402.0	125264412.0	EGR2	14.0667	+
4930417O13Rik	125264401.0	125264413.0	EPAS1	13.0444	+
4930417O13Rik	125265542.0	125265559.0	ESR1	12.9683	+
4930417O13Rik	125265539.0	125265556.0	ESR1	12.9683	-
4930417O13Rik	125264811.0	125264827.0	FOXJ3	14.681299999999997	-
4930417O13Rik	125264811.0	125264827.0	FOXK1	13.8333	-
4930417O13Rik	125264888.0	125264903.0	FOXO1	14.0549	+
4930417O13Rik	125264209.0	125264221.0	HLF	14.3111	+
4930417O13Rik	125265049.0	125265085.0	HOXB4	13.8575	+
4930417O13Rik	125265048.0	125265084.0	HOXB4	15.155	-
4930417O13Rik	125264093.0	125264107.0	IRF1	13.6667	-
4930417O13Rik	125264617.0	125264628.0	IRF1	13.4333	-
4930417O13Rik	125264302.0	125264323.0	IRF3	15.083233333333332	+
4930417O13Rik	125264616.0	125264629.0	IRF3	13.1429	-
4930417O13Rik	125265690.0	125265706.0	IRF3	14.022	-
4930417O13Rik	125264297.0	125264323.0	IRF4	13.8037	+
4930417O13Rik	125263787.0	125263837.0	IRF4	15.302378571428573	-
4930417O13Rik	125265691.0	125265713.0	IRF4	17.737033333333333	-
4930417O13Rik	125263597.0	125263616.0	IRF5	3.5	-
4930417O13Rik	125265686.0	125265705.0	IRF5	4.66667	-
4930417O13Rik	125264616.0	125264630.0	IRF8	14.6813	-
4930417O13Rik	125263957.0	125263968.0	KLF4	13.754914285714284	-
4930417O13Rik	125265756.0	125265765.0	MAFG	8.95	-
4930417O13Rik	125264533.0	125264550.0	MAFK	9.252790000000001	+
4930417O13Rik	125265754.0	125265771.0	MAFK	12.1222	+
4930417O13Rik	125264626.0	125264635.0	MAFK	6.46835	-
4930417O13Rik	125264988.0	125265004.0	MAZ	12.6593	-
4930417O13Rik	125265291.0	125265302.0	MYC	13.5225	-
4930417O13Rik	125264210.0	125264223.0	NFIL3	14.7111	+
4930417O13Rik	125264211.0	125264220.0	NFIL3	10.8791	-
4930417O13Rik	125264863.0	125264873.0	NFKB1	13.2527	-
4930417O13Rik	125263733.0	125263743.0	NR1H2	13.328	+
4930417O13Rik	125264434.0	125264452.0	NR1H2	5.28889	+
4930417O13Rik	125264438.0	125264450.0	NR2C1	17.5333	+
4930417O13Rik	125265736.0	125265748.0	NR2C1	14.6556	-
4930417O13Rik	125264437.0	125264449.0	NR2C2	18.4331	+
4930417O13Rik	125264436.0	125264454.0	NR2F6	19.792833333333334	+
4930417O13Rik	125265048.0	125265083.0	POU2F1	16.02025	+
4930417O13Rik	125265050.0	125265085.0	POU2F1	16.067549999999997	-
4930417O13Rik	125264436.0	125264449.0	PPARD	15.5824	+
4930417O13Rik	125264303.0	125264316.0	PRDM1	13.11	+
4930417O13Rik	125264402.0	125264418.0	PURA	13.7391	+
4930417O13Rik	125264863.0	125264874.0	REL	14.4615	-
4930417O13Rik	125265417.0	125265430.0	RFX1	15.7444	-
4930417O13Rik	125265416.0	125265431.0	RFX2	12.57	+
4930417O13Rik	125265416.0	125265431.0	RFX2	11.46	-
4930417O13Rik	125265416.0	125265431.0	RFX3	11.177766666666665	+
4930417O13Rik	125265416.0	125265431.0	RFX3	10.5333	-
4930417O13Rik	125264390.0	125264417.0	RREB1	13.142900000000001	+
4930417O13Rik	125264441.0	125264451.0	RXRA	16.166699999999995	+
4930417O13Rik	125265138.0	125265159.0	RXRA	15.5931	-
4930417O13Rik	125265735.0	125265745.0	RXRA	15.2556	-
4930417O13Rik	125263734.0	125263743.0	RXRB	12.8022	+
4930417O13Rik	125264436.0	125264449.0	RXRB	19.4778	+
4930417O13Rik	125265338.0	125265348.0	SMAD2	12.7111	+
4930417O13Rik	125263543.0	125263556.0	SOX12	13.1081	-
4930417O13Rik	125265034.0	125265050.0	SOX4	14.46	-
4930417O13Rik	125263548.0	125263555.0	SOX5	12.3956	-
4930417O13Rik	125263784.0	125263837.0	STAT1	14.993284615384614	+
4930417O13Rik	125265689.0	125265713.0	STAT1	14.944433333333334	+
4930417O13Rik	125264306.0	125264324.0	STAT1	17.1746	-
4930417O13Rik	125263798.0	125263812.0	STAT2	14.736	+
4930417O13Rik	125263818.0	125263836.0	STAT2	13.120000000000001	+
4930417O13Rik	125264615.0	125264629.0	STAT2	15.672	+
4930417O13Rik	125263820.0	125263832.0	STAT2	14.3681	-
4930417O13Rik	125264307.0	125264321.0	STAT2	14.776	-
4930417O13Rik	125265694.0	125265706.0	STAT2	13.4792	-
4930417O13Rik	125264339.0	125264350.0	TCF7	14.5667	-
4930417O13Rik	125264013.0	125264023.0	ZFP335	13.4176	-
4930453N24Rik	64772372.0	64772382.0	ARID3B	13.6333	+
4930453N24Rik	64771155.0	64771165.0	ARID5A	13.3111	+
4930453N24Rik	64771558.0	64771568.0	ARID5A	13.8667	-
4930453N24Rik	64772353.0	64772367.0	BBX	12.5706	-
4930453N24Rik	64772863.0	64772872.0	ELF1	14.3889	-
4930453N24Rik	64770671.0	64770685.0	ELF2	13.7222	+
4930453N24Rik	64772864.0	64772872.0	ELK1	13.7692	-
4930453N24Rik	64772862.0	64772873.0	ELK3	16.927799999999998	-
4930453N24Rik	64772863.0	64772873.0	ELK4	16.6111	-
4930453N24Rik	64770965.0	64770975.0	ESRRA	11.8	+
4930453N24Rik	64772864.0	64772872.0	ETS1	13.0111	-
4930453N24Rik	64772862.0	64772872.0	ETS2	12.1111	-
4930453N24Rik	64772861.0	64772875.0	FLI1	17.2198	-
4930453N24Rik	64771035.0	64771044.0	FOXJ2	13.7778	-
4930453N24Rik	64770926.0	64770938.0	FOXJ3	14.7556	+
4930453N24Rik	64771033.0	64771045.0	FOXJ3	15.8111	-
4930453N24Rik	64770893.0	64770905.0	FOXM1	13.3736	-
4930453N24Rik	64770888.0	64770903.0	FOXO1	16.044	-
4930453N24Rik	64770891.0	64770903.0	FOXO3	13.5385	-
4930453N24Rik	64770889.0	64770900.0	FUBP1	13.0659	-
4930453N24Rik	64772795.0	64772805.0	GABPA	13.4889	-
4930453N24Rik	64772861.0	64772874.0	GABPA	16.65555	-
4930453N24Rik	64772370.0	64772386.0	HOXB4	13.2	-
4930453N24Rik	64772498.0	64772511.0	HSF1	12.345	+
4930453N24Rik	64772860.0	64772874.0	IKZF3	13.04	-
4930453N24Rik	64770782.0	64770793.0	IRF1	14.3333	-
4930453N24Rik	64770781.0	64770794.0	IRF2	13.1111	-
4930453N24Rik	64771973.0	64772001.0	IRF3	13.25825	+
4930453N24Rik	64770776.0	64770794.0	IRF3	13.068999999999999	-
4930453N24Rik	64772087.0	64772103.0	IRF3	13.1978	-
4930453N24Rik	64772653.0	64772666.0	IRF3	12.5714	-
4930453N24Rik	64770670.0	64770685.0	IRF4	14.4222	+
4930453N24Rik	64770882.0	64770903.0	IRF4	15.197199999999999	+
4930453N24Rik	64771339.0	64771354.0	IRF4	14.1	+
4930453N24Rik	64771788.0	64771808.0	IRF4	15.166666666666666	+
4930453N24Rik	64771956.0	64772006.0	IRF4	16.0120375	+
4930453N24Rik	64770784.0	64770799.0	IRF4	16.2	-
4930453N24Rik	64770888.0	64770907.0	IRF5	5.57778	+
4930453N24Rik	64771981.0	64772004.0	IRF5	5.333335	+
4930453N24Rik	64770674.0	64770688.0	IRF8	14.0989	+
4930453N24Rik	64772091.0	64772102.0	IRF9	8.4	-
4930453N24Rik	64771853.0	64771869.0	MAZ	12.6593	+
4930453N24Rik	64772559.0	64772580.0	MAZ	13.45605	-
4930453N24Rik	64772629.0	64772652.0	MAZ	15.7912	-
4930453N24Rik	64770966.0	64770976.0	NR1H2	12.84	+
4930453N24Rik	64771353.0	64771365.0	NR2C1	14.5	+
4930453N24Rik	64771352.0	64771364.0	NR2C2	16.6457	+
4930453N24Rik	64771351.0	64771364.0	NR2F6	15.6374	+
4930453N24Rik	64772590.0	64772604.0	NRF1	16.2544	+
4930453N24Rik	64772593.0	64772607.0	NRF1	15.9686	-
4930453N24Rik	64772114.0	64772128.0	PBX2	12.8696	-
4930453N24Rik	64772951.0	64772967.0	PLAG1	13.9444	+
4930453N24Rik	64772370.0	64772385.0	POU2F1	15.4414	+
4930453N24Rik	64772372.0	64772387.0	POU2F1	14.8919	-
4930453N24Rik	64770780.0	64770793.0	PRDM1	13.05	-
4930453N24Rik	64772299.0	64772315.0	PRDM4	14.016	-
4930453N24Rik	64772634.0	64772650.0	PURA	15.6087	-
4930453N24Rik	64772933.0	64772949.0	PURA	14.2283	-
4930453N24Rik	64772871.0	64772892.0	RFX1	20.2527	+
4930453N24Rik	64772877.0	64772890.0	RFX1	17.9222	-
4930453N24Rik	64772633.0	64772657.0	RREB1	15.354375000000001	-
4930453N24Rik	64771356.0	64771366.0	RXRA	15.388900000000003	+
4930453N24Rik	64771351.0	64771364.0	RXRB	8.65556	+
4930453N24Rik	64771943.0	64771950.0	SMAD4	13.4444	+
4930453N24Rik	64771028.0	64771041.0	SOX12	14.0991	-
4930453N24Rik	64770891.0	64770907.0	SOX4	15.12	+
4930453N24Rik	64772558.0	64772576.0	SP1	13.33	-
4930453N24Rik	64772633.0	64772651.0	SP1	16.92	-
4930453N24Rik	64772628.0	64772644.0	SP2	12.6667	-
4930453N24Rik	64772631.0	64772657.0	SP3	14.669666666666666	-
4930453N24Rik	64772626.0	64772651.0	SP4	15.8077	-
4930453N24Rik	64772884.0	64772907.0	SP4	13.4286	-
4930453N24Rik	64770777.0	64770795.0	STAT1	13.6429	+
4930453N24Rik	64770886.0	64770904.0	STAT1	16.4206	-
4930453N24Rik	64771788.0	64771808.0	STAT1	14.351866666666666	-
4930453N24Rik	64771956.0	64772069.0	STAT1	14.310997368421052	-
4930453N24Rik	64771990.0	64772008.0	STAT2	14.003499999999999	+
4930453N24Rik	64770782.0	64770794.0	STAT2	15.3819	-
4930453N24Rik	64771990.0	64772004.0	STAT2	15.848	-
4930453N24Rik	64770753.0	64770767.0	STAT3	13.2088	+
4930453N24Rik	64770670.0	64770681.0	STAT6	13.4725	-
4930453N24Rik	64772632.0	64772653.0	ZFP281	15.8336	+
4930453N24Rik	64772633.0	64772649.0	ZFP740	13.388399999999999	+
4930453N24Rik	64772744.0	64772757.0	ZFX	14.688900000000002	-
5830444B04Rik	155421572.0	155421585.0	BCL11B	14.9653	-
5830444B04Rik	155423064.0	155423074.0	CEBPZ	14.8333	+
5830444B04Rik	155423183.0	155423202.0	CTCF	14.9889	-
5830444B04Rik	155423207.0	155423217.0	EGR1	14.2637	+
5830444B04Rik	155423207.0	155423217.0	EGR2	13.8444	+
